origin,variety,process,acidity,body,sweetness,cup_total,source
Colombia,정보없음,정보없음,0.666,0.625,1.0,81.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.625,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Pulped natural / honey,0.594,0.727,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.643,0.652,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Other,Other,0.714,0.802,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.7,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.643,0.751,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.477,0.727,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Myanmar,Catuai,Washed / Wet,0.62,0.625,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Catuai,Washed / Wet,0.643,0.577,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.643,0.652,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.571,0.55,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.571,0.751,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Typica,Other,0.594,0.652,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Gesha,Washed / Wet,0.594,0.625,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.549,0.775,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Natural / Dry,0.594,0.625,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.625,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.62,0.676,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.786,0.775,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Semi-washed / Semi-pulped,0.62,0.775,0.923,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.594,0.727,0.923,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.666,0.601,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.643,0.676,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,정보없음,0.643,0.676,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.666,0.625,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.691,0.751,1.0,81.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.652,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Vietnam,Caturra,Washed / Wet,0.643,0.676,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.62,0.625,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,Natural / Dry,0.571,0.652,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.62,0.601,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Mundo Novo,Washed / Wet,0.691,0.625,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.625,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.691,0.652,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.727,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.594,0.676,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.523,0.601,1.0,81.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.643,0.676,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.625,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.691,0.625,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.594,0.652,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",정보없음,정보없음,0.62,0.676,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,정보없음,0.571,0.676,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.691,0.0,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.62,0.676,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.62,0.676,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.571,0.652,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Washed / Wet,0.643,0.676,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Sumatra,Semi-washed / Semi-pulped,0.62,0.625,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Natural / Dry,0.643,0.577,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.549,0.676,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,정보없음,Washed / Wet,0.786,0.7,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Semi-washed / Semi-pulped,0.571,0.652,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.62,0.625,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.666,0.625,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.594,0.625,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.691,0.727,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.714,0.676,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.62,0.652,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.666,0.601,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Semi-washed / Semi-pulped,0.549,0.7,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Washed / Wet,0.594,0.577,1.0,81.67,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catimor,Washed / Wet,0.62,0.676,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.652,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.691,0.625,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.549,0.55,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.62,0.652,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Gesha,Washed / Wet,0.666,0.625,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Semi-washed / Semi-pulped,0.523,0.925,0.923,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Washed / Wet,0.594,0.676,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.652,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.45,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Marigojipe,Natural / Dry,0.643,0.676,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.666,0.7,0.847,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,정보없음,0.666,0.577,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,정보없음,0.643,0.7,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,정보없음,정보없음,0.594,0.676,1.0,81.58,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.625,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Caturra,Other,0.594,0.601,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Washed / Wet,0.62,0.577,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,정보없음,0.571,0.676,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Natural / Dry,0.523,0.7,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Myanmar,Catuai,Washed / Wet,0.643,0.625,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.523,0.625,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Gesha,Washed / Wet,0.643,0.676,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Other,Washed / Wet,0.666,0.601,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.594,0.652,0.923,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,0.691,0.727,0.923,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Haiti,Blue Mountain,Washed / Wet,0.62,0.652,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Other,0.571,0.625,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.62,0.676,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.62,0.625,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Catuai,Washed / Wet,0.62,0.577,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Semi-washed / Semi-pulped,0.594,0.625,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.549,0.601,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.643,0.652,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Indonesia,Other,Washed / Wet,0.594,0.7,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Semi-washed / Semi-pulped,0.62,0.676,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.577,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.62,0.652,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.643,0.676,1.0,81.5,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Mundo Novo,Washed / Wet,0.594,0.676,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Catuai,Washed / Wet,0.666,0.625,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.594,0.474,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.571,0.676,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.549,0.55,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Gesha,Washed / Wet,0.62,0.55,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.549,0.625,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.652,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.549,0.601,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Peru,정보없음,Washed / Wet,0.594,0.652,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.62,0.652,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.549,0.601,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.571,0.676,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Natural / Dry,0.549,0.577,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.5,0.625,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Peaberry,정보없음,0.666,0.7,1.0,81.42,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.549,0.625,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Washed / Wet,0.549,0.676,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,정보없음,정보없음,0.62,0.7,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.594,0.625,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.62,0.577,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Other,0.571,0.652,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Philippines,Other,Washed / Wet,0.594,0.625,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Gesha,Washed / Wet,0.594,0.625,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.594,0.676,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.601,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.62,0.7,1.0,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.643,0.751,0.923,81.33,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Natural / Dry,0.737,0.775,1.0,81.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.523,0.502,1.0,81.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Catuai,Washed / Wet,0.549,0.652,1.0,81.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.643,0.625,1.0,81.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Pacamara,Washed / Wet,0.571,0.652,1.0,81.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.643,0.601,1.0,81.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Semi-washed / Semi-pulped,0.571,0.601,1.0,81.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.666,0.526,1.0,81.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.676,1.0,81.25,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,정보없음,Washed / Wet,0.549,0.7,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Bourbon,Washed / Wet,0.594,0.676,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Caturra,Washed / Wet,0.571,0.55,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.549,0.55,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Natural / Dry,0.62,0.625,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,Caturra,Washed / Wet,0.549,0.676,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Philippines,Typica,Natural / Dry,0.523,0.7,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Bourbon,Washed / Wet,0.594,0.625,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Malawi,Caturra,Washed / Wet,0.523,0.625,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Catuai,Washed / Wet,0.571,0.625,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Catuai,Natural / Dry,0.62,0.625,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Natural / Dry,0.714,0.652,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.571,0.601,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.62,0.676,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),정보없음,정보없음,0.691,0.652,1.0,81.17,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Ethiopia,정보없음,Natural / Dry,0.594,0.652,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.571,0.751,0.923,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Other,Washed / Wet,0.62,0.625,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States,Pache Comun,Natural / Dry,0.62,0.601,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.571,0.601,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.571,0.601,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Puerto Rico),Other,Washed / Wet,0.666,0.7,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.577,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.62,0.601,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.62,0.601,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.62,0.577,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Washed / Wet,0.666,0.502,1.0,81.08,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Pulped natural / honey,0.643,0.625,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
El Salvador,Bourbon,Washed / Wet,0.594,0.601,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Pulped natural / honey,0.691,0.625,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.643,0.601,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,Caturra,Washed / Wet,0.0,0.727,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.571,0.676,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.571,0.676,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Natural / Dry,0.594,0.601,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Mundo Novo,Natural / Dry,0.714,0.775,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.62,0.577,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Uganda,SL14,Natural / Dry,0.594,0.652,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Semi-washed / Semi-pulped,0.594,0.625,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,정보없음,Washed / Wet,0.62,0.601,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Other,Washed / Wet,0.594,0.652,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.691,0.7,1.0,81.0,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Other,Washed / Wet,0.594,0.625,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Bourbon,Washed / Wet,0.666,0.727,0.923,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Kenya,SL28,Washed / Wet,0.643,0.826,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.62,0.676,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Myanmar,Other,Other,0.666,0.625,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Natural / Dry,0.549,0.7,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
"Tanzania, United Republic Of",Other,Washed / Wet,0.571,0.652,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Yellow Bourbon,Natural / Dry,0.571,0.601,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.523,0.55,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,Bourbon,Natural / Dry,0.571,0.601,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Caturra,Washed / Wet,0.5,0.676,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Pacas,Washed / Wet,0.643,0.601,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.571,0.601,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Other,0.523,0.55,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Taiwan,Typica,Washed / Wet,0.571,0.601,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.643,0.577,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Thailand,Peaberry,정보없음,0.594,0.577,1.0,80.92,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Laos,Catimor,Washed / Wet,0.549,0.577,1.0,80.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.594,0.577,1.0,80.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Catuai,Semi-washed / Semi-pulped,0.62,0.601,1.0,80.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Typica,Washed / Wet,0.594,0.601,1.0,80.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Mexico,Bourbon,Washed / Wet,0.571,0.577,1.0,80.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
United States (Hawaii),Hawaiian Kona,Washed / Wet,0.571,0.625,1.0,80.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Colombia,정보없음,정보없음,0.451,0.625,1.0,80.83,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Brazil,정보없음,Natural / Dry,0.549,0.601,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Myanmar,Catuai,Washed / Wet,0.666,0.676,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Guatemala,Caturra,Washed / Wet,0.62,0.577,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Nicaragua,Other,Washed / Wet,0.571,0.625,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Caturra,Natural / Dry,0.62,0.601,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Panama,Caturra,Other,0.594,0.625,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Washed / Wet,0.62,0.601,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Honduras,Catuai,Natural / Dry,0.643,0.601,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
Costa Rica,Caturra,Washed / Wet,0.571,0.577,1.0,80.75,CQI via jldbc/coffee-quality-database (arabica_data_cleaned)
